Works Sanctioned,,,,,,,,,,,
Sr. No.,Work category,Work,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status
37899,Normal/Others,WS/MP18036/2025-2026/206647-Construction of common work sheds/ common covered sitting area,Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),"Construction of a roofed platform (chabutra), Near Baba Tularam Sthan",06-Jun-2025,23-Jul-2025,294043,Physical Inspection
37900,Normal/Others,"WS/MP18264/2025-2026/206648-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Construction of Anaveli Edacherimattam Road,05-Jun-2025,06-Oct-2025,1000000,Sanction
37901,Normal/Others,WS/MP18350/2025-2026/206650-Street lights,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of 10 nos. of street-lights at Nuagaon Ashram School,05-Jun-2025,25-Jun-2025,500000,Physical Inspection
37902,Normal/Others,WS/MP18350/2025-2026/206651-Street lights,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,"Installation of 10 nos. of street lights at Hanuman Vatika, Kotagada",05-Jun-2025,25-Jun-2025,500000,Physical Inspection
37903,Normal/Others,WS/MP18350/2025-2026/206652-Street lights,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of 10 nos. of street lights at Kotgarh Girls Higher Secondary School,05-Jun-2025,25-Jun-2025,500000,Physical Inspection
37904,Normal/Others,WS/MP18350/2025-2026/206653-Street lights,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of 10 nos. of street light at Kotgarh High School,05-Jun-2025,25-Jun-2025,500000,Physical Inspection
37905,Normal/Others,WS/MP18350/2025-2026/206654-Street lights,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of 10 nos. of street lights at Durgapanga Govt. Girls High School,05-Jun-2025,25-Jun-2025,500000,Physical Inspection
37906,Normal/Others,"WS/MP18036/2025-2026/206655-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),ARUN BHARTI,JAMUI(SC),Construction of a PCC road from Manish Kumar house to Gautam Kirana Store via Sunil Singh house.,06-Jun-2025,04-Sep-2025,375658,Physical Inspection
37907,Normal/Others,"WS/MP18236/2025-2026/206661-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction work of CC road from the house of Keshav Maurya to the house of Idrish Ansari in Gram Panchayat Bhagupur.,05-Jun-2025,18-Sep-2025,600000,Vendor Identification
37908,Normal/Others,WS/MP18236/2025-2026/206662-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction work of permanent shed near Shabari Mata temple in Gram Panchayat Kushain,05-Jun-2025,18-Sep-2025,500000,Work partially Completed
37909,Normal/Others,"WS/MP18236/2025-2026/206663-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction of drain and CC road from Chaudhary Vanvasi  house to Hira Vanvasi house in Gram Panchayat Atayastganj.,05-Jun-2025,15-Sep-2025,550000,Work partially Completed
37910,Normal/Others,"WS/MP18236/2025-2026/206664-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction work of culvert in the drain near Shakeel field in Gram Panchayat Kidihira.,05-Jun-2025,15-Sep-2025,700000,Work partially Completed
37911,Normal/Others,WS/MP18236/2025-2026/206665-Development of public parks,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction work of Chhath Ghat in the canal in Gram Panchayat Thekhan.,05-Jun-2025,15-Sep-2025,600000,Work partially Completed
37912,Normal/Others,"WS/MP18236/2025-2026/206666-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Construction work of drain cover and interlocking from Pari Ji temple to Ram Asare house in Gram Panchayat Machian Kala,05-Jun-2025,24-Sep-2025,700000,Vendor Identification
37913,Normal/Others,WS/MP18154/2025-2026/206668-Installing tube-wells and borewells,Punjab,PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,Deep bore in village at Bhoon. The working agency will be Gram Panchayat,12-Jun-2025,16-Jul-2025,500000,Physical Inspection
37914,Normal/Others,WS/MP18036/2025-2026/206669-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,10-Jan-2026,100000,Physical Inspection
37915,Normal/Others,WS/MP18036/2025-2026/206670-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Physical Inspection
37916,Normal/Others,WS/MP18036/2025-2026/206671-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Sanction
37917,Normal/Others,WS/MP18036/2025-2026/206672-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Sanction
37918,Normal/Others,WS/MP18036/2025-2026/206673-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Physical Inspection
37919,Normal/Others,WS/MP18350/2025-2026/206674-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light at Bahadajhola Chhaka,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37920,Normal/Others,WS/MP18350/2025-2026/206675-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light near Malisahi Gatiswara Temple,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37921,Normal/Others,WS/MP18350/2025-2026/206676-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast light at Nuagaon Chhaka,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37922,Normal/Others,WS/MP18350/2025-2026/206677-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light at Nuagaon Block Campus,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37923,Normal/Others,WS/MP623/2026-2027/206678-Construction of community centers and community halls,Karnataka,VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),Ramesh Chandappa Jigajinagi,BIJAPUR(SC),Construction of community hall Near Lakkamma Devi Temple at Sangogi Village,05-Jun-2025,06-Jul-2026,300000,Physical Inspection
37924,Normal/Others,WS/MP18350/2025-2026/206679-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light at Singarpali Chhak,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37925,Normal/Others,WS/MP18350/2025-2026/206680-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,"Installation of High Mast Light at Niladripur Bus Stand, Mahipur",05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37926,Normal/Others,WS/MP18350/2025-2026/206681-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,"Installation of High Mast Light near Jangya Mandap, Korada",05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37927,Normal/Others,WS/MP18350/2025-2026/206682-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light at Sikrida Chhak,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37928,Normal/Others,WS/MP18350/2025-2026/206683-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light at Dhenkana Chhak,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37929,Normal/Others,WS/MP18350/2025-2026/206684-Lighting of public spaces,Odisha,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Installation of High Mast Light near Ram Mandir at Khandugaon,05-Jun-2025,02-Sep-2025,170000,Physical Inspection
37930,Normal/Others,WS/MP18158/2025-2026/206687-Installing tube-wells and borewells,Punjab,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,Installation of 3 Borewell in Village Sailwala Khurd Block Patran Tehsil Patran,12-Jun-2025,09-Jul-2025,350000,Vendor Identification
37931,Normal/Others,WS/MP18036/2025-2026/206688-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Physical Inspection
37932,Normal/Others,WS/MP18036/2025-2026/206689-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,10-Jan-2026,100000,Sanction
37933,Normal/Others,WS/MP18036/2025-2026/206690-Installing hand pumps,Bihar,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),ARUN BHARTI,JAMUI(SC),Installation of Hand Pump,06-Jun-2025,23-Dec-2025,100000,Sanction
37934,Normal/Others,"WS/MP18264/2025-2026/206698-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Construction of  Palam - Kolathoor Road,05-Jun-2025,06-Oct-2025,697197,Physical Inspection
37935,Normal/Others,"WS/MP18264/2025-2026/206700-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Concreating Velladithara ElamanatharaRoad,05-Jun-2025,10-Sep-2025,1500000,Physical Inspection
37936,Normal/Others,"WS/MP18314/2025-2026/206701-Purchase of IT systems, including hardware and software for educational purposes",Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,"Purchase of Interactive Flat Panel Digital Board systems, including hardware and software for educational purposes Govt High School Dhurkot  Block Barnala",15-Jul-2025,22-Aug-2025,250000,Physical Inspection
37937,Normal/Others,"WS/MP18264/2025-2026/206703-Purchase of IT systems, including hardware and software for educational purposes",Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Providing 2  laptops for SSV U.P. School Kallara,05-Jun-2025,05-Nov-2025,100000,Sanction
37938,Normal/Others,WS/MP323/2025-2026/206708-Construction of culverts and bridges,Gujarat,JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA),Rajeshbhai Naranbhai Chudasama,JUNAGADH,"Junagadh District,Junagadh Taluka,Vadhavi Village,Construction of a drain on the road leading to Devabapa temple which is located towards Karaniya Kalwabhai farm in Vadhavi village",05-Jun-2025,23-Sep-2025,250000,Sanction
37939,Normal/Others,"WS/MP18314/2025-2026/206709-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,Regarding Construction and other Work of the Control Room at SSP Office Barnala to enhance Public Safety and Confidence in policing,15-Jul-2025,04-Sep-2025,986616,Physical Inspection
37940,Normal/Others,"WS/MP323/2025-2026/206711-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA),Rajeshbhai Naranbhai Chudasama,JUNAGADH,"Junagadh District,Junagadh Taluka,Khalilpur Village,Work of laying paver blocks in the school grounds of Khalilpur village",05-Jun-2025,23-Sep-2025,300000,Work Completed
37941,Normal/Others,WS/MP323/2025-2026/206713-Construction of community centers and community halls,Gujarat,GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA),Rajeshbhai Naranbhai Chudasama,JUNAGADH,"Gir Somnath District,Veraval Taluka,Dabhor Villege, Construction of a community hall in a new plot area in Dabhor village",05-Jun-2025,24-Sep-2025,1500000,Sanction
37942,Normal/Others,WS/MP372/2025-2026/206715-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY CENTER AT MALHA SAHI, NEAR MADAN MOHAN PATHAGARA",05-Jun-2025,19-Nov-2025,950000,Sanction
37943,Normal/Others,WS/MP18024/2025-2026/206716-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Bhuyankhat Sankardev Kala Kristi Kendra Bornamghar, Bhuyankhat GP",05-Jun-2025,16-Sep-2025,200000,Physical Inspection
37944,Normal/Others,WS/MP18024/2025-2026/206717-Construction of culverts and bridges,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Box Culvert at Borhat TE Urang Line, Borhat GP",05-Jun-2025,06-Jan-2026,200000,Physical Inspection
37945,Normal/Others,"WS/MP18024/2025-2026/206718-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Pub Nalbaria Tamuli Ali 1 KM, Milonjyoti GP",05-Jun-2025,16-Sep-2025,200000,Physical Inspection
37946,Normal/Others,WS/MP18024/2025-2026/206719-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Swantali Jubak Sangha Building, Borhat, Lohalia, Naharpukhuri GP",05-Jun-2025,20-Nov-2025,200000,Sanction
37947,Normal/Others,WS/MP18024/2025-2026/206720-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Boraha Ranga Mancha Building, Chatianaguri, Baraha, Buraguri GP",05-Jun-2025,20-Nov-2025,200000,Vendor Identification
37948,Normal/Others,"WS/MP18024/2025-2026/206721-Construction of roads, link roads, pathways or any other road with or without drainage system",Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Haluwa and Lefera village connecting road, Haluwa Gaon, Purbanchal GP",05-Jun-2025,24-Dec-2025,200000,Physical Inspection
37949,Normal/Others,WS/MP18024/2025-2026/206722-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Nagahat Rajahuwa Bhawan, Sonali GP",05-Jun-2025,16-Sep-2025,200000,Physical Inspection
37950,Normal/Others,WS/MP18024/2025-2026/206723-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Michajan Gohaingaon Sanskritik Kendra, Ahukhat GP",05-Jun-2025,20-Nov-2025,200000,Vendor Identification
37951,Normal/Others,WS/MP18024/2025-2026/206724-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Rohan Bheseli Namghar, Timon Boratani, Rohan GP",05-Jun-2025,16-Sep-2025,200000,Work Completed
37952,Normal/Others,"WS/MP372/2025-2026/206725-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF GUARD WALL OF KADAMPADA JALASAYA, NEAR KADAMPADA U.P.SCHOOL, DADHIBAMANPUR G.P.",05-Jun-2025,11-Jul-2025,300000,Physical Inspection
37953,Normal/Others,WS/MP372/2025-2026/206726-Construction of buildings for community cultural activities,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF GOBARDHAN GOSALA BUILDING OF BASUDHA CHARITABLE TRUST,VILLAGE KOTADWAR, RAGADI",05-Jun-2025,14-Oct-2025,900000,Work partially Completed
37954,Repair and Renovation,WS/MP18017/2025-2026/206727-Construction of buildings for crèches and anganwadies,Andhra Pradesh,Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA),Sribharat MathuKumli,VISAKHAPATNAM,"Renovation of the existing Anganwadi building to restore its functionality. The proposed work includes construction of toilets, renovation of the building, and installation of a water tank or municipal water connection along with a power meter. This will help reduce dependency on rented space and ensure long-term utilization of government infrastructure.",13-Jun-2025,08-Dec-2025,1715000,Sanction
37955,Normal/Others,WS/MP372/2025-2026/206728-Construction of rooms and halls in school and colleges,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF BUILDING OF RAJYOGA EDUCATION AND RESEARCH FOUNDATION , GOPABANDHU NAGAR JAGATPUR, CUTTACK",05-Jun-2025,24-Jul-2025,500000,Physical Inspection
37956,Normal/Others,WS/MP372/2025-2026/206729-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY BUILDING AT ODIBAZAR TANTI SAHI, CUTTACK",05-Jun-2025,01-Dec-2025,500000,Physical Inspection
37957,Normal/Others,WS/MP18264/2025-2026/206730-Purchase of vans and buses for educational institutions,Kerala,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),ADV K FRANCIS GEORGE,KOTTAYAM,Providing a TATA winger school van Eighteen plus Driver for Sree Kumaramangalam Higher Secondary School Kumarakom,05-Jun-2025,20-Aug-2025,1501733,Physical Inspection
37958,Normal/Others,WS/MP18024/2025-2026/206731-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Numtula TE Cultural Centre, Towkok GP",05-Jun-2025,06-Jan-2026,200000,Vendor Identification
37959,Normal/Others,WS/MP18024/2025-2026/206732-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Boundary Wall of Lukhurakhon Sarbajanin Sanskritic Kendra, Ouguri Shyam Gaon, Begenabari GP",05-Jun-2025,09-Jan-2026,200000,Vendor Identification
37960,Normal/Others,WS/MP18024/2025-2026/206733-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Lekampather Namghar, Haridev GP",05-Jun-2025,09-Jan-2026,200000,Vendor Identification
37961,Normal/Others,WS/MP18024/2025-2026/206734-Construction of community centers and community halls,Assam,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,"Construction of Bilsuk Namghar, Longpatia, Longpatia GP",05-Jun-2025,09-Jan-2026,200000,Vendor Identification
37962,Normal/Others,WS/MP372/2026-2027/206735-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY BUILDING NEAR MAA BUDHI MANGALA TEMPLE ,BINDHANIMA, TIGIRIA",05-Jun-2025,13-May-2026,500000,Sanction
37963,Normal/Others,WS/MP372/2025-2026/206736-Construction of community centers and community halls,Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),Shri Bhartruhari Mahtab,CUTTACK,"CONSTRUCTION OF COMMUNITY BUILDING NEAR RADHA KRISHNA MANDIRA, GANDHIPALLI, NUABAZAR, CUTTACK WARD NO.54",05-Jun-2025,20-Dec-2025,300000,Sanction
37964,Normal/Others,WS/MP18236/2025-2026/206738-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 32 solar street light at various locations in Gram Panchayat Khodela in Block Nagwa,05-Jun-2025,19-Aug-2025,800000,Work Completed
37965,Normal/Others,WS/MP18236/2025-2026/206739-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 19 solar street light at various locations in Gram Panchayat Suarsot in Block Nagwa,05-Jun-2025,19-Aug-2025,475000,Work Completed
37966,Normal/Others,WS/MP18236/2025-2026/206740-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 7 solar street light at various locations in Gram Panchayat Kaziyari in Block Nagwa,05-Jun-2025,19-Aug-2025,175000,Work Completed
37967,Normal/Others,WS/MP18236/2025-2026/206741-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 13 solar street light at various locations in Gram Panchayat Baki in Block Nagwa,05-Jun-2025,19-Aug-2025,325000,Work Completed
37968,Normal/Others,WS/MP18236/2025-2026/206742-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 12 solar street light at various locations in Gram Panchayat Madapa in Block Nagwa,05-Jun-2025,19-Aug-2025,300000,Work Completed
37969,Normal/Others,WS/MP18236/2025-2026/206743-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 10 solar street light at various locations in Gram Panchayat Channi in Block Cone,05-Jun-2025,19-Aug-2025,250000,Work Completed
37970,Normal/Others,WS/MP18236/2025-2026/206744-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 27 solar street light at various locations in Gram Panchayat Darev in Block Nagwa,05-Jun-2025,19-Aug-2025,675000,Work Completed
37971,Normal/Others,WS/MP18236/2025-2026/206745-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 9 solar street light at various locations in Gram Panchayat Kevatam in Block Nagwa,05-Jun-2025,19-Aug-2025,225000,Work Completed
37972,Normal/Others,WS/MP18236/2025-2026/206746-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 10 solar street light at various locations in Gram Panchayat Dhosra in Block Nagwa,05-Jun-2025,19-Aug-2025,250000,Work Completed
37973,Normal/Others,WS/MP18236/2025-2026/206747-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 9 solar street light at various locations in Gram Panchayat Soma in Block Nagwa,05-Jun-2025,19-Aug-2025,225000,Work Completed
37974,Normal/Others,WS/MP18236/2025-2026/206748-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 15 solar street light at various locations in Gram Panchayat Panaura in Block Nagwa,05-Jun-2025,19-Aug-2025,375000,Work Completed
37975,Normal/Others,WS/MP18236/2025-2026/206749-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 9 solar street light at various locations in Gram Panchayat Chargada in Block Nagwa,05-Jun-2025,19-Aug-2025,225000,Work Completed
37976,Normal/Others,WS/MP18236/2025-2026/206750-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 14 solar street light at various locations in Gram Panchayat Majhui in Block Nagwa,05-Jun-2025,19-Aug-2025,350000,Work Completed
37977,Normal/Others,WS/MP18236/2025-2026/206751-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 15 solar street light at various locations in Gram Panchayat Nagwa in Block Nagwa,05-Jun-2025,19-Aug-2025,375000,Work Completed
37978,Normal/Others,WS/MP18236/2025-2026/206752-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 8 solar street light at various locations in Gram Panchayat Manchi in Block Nagwa,05-Jun-2025,19-Aug-2025,200000,Work Completed
37979,Normal/Others,WS/MP18236/2025-2026/206753-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 10 solar street light at various locations in Gram Panchayat Baradand in Block Nagwa,05-Jun-2025,19-Aug-2025,250000,Work Completed
37980,Normal/Others,WS/MP18236/2025-2026/206754-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 9 solar street light at various locations in Gram Panchayat Kevatam in Block Nagwa,05-Jun-2025,19-Aug-2025,225000,Work Completed
37981,Normal/Others,WS/MP18236/2025-2026/206755-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of 9 solar street light at various locations in Gram Panchayat Baliyari in Block Nagwa,05-Jun-2025,19-Aug-2025,225000,Work Completed
